States,year,quarter,brand,user_counts,percentage
Delhi,2019,2,Realme,240746,4%
Delhi,2019,2,Motorola,200193,3%
Delhi,2019,2,OnePlus,191881,3%
Delhi,2019,2,Lenovo,115488,2%
Delhi,2019,2,Huawei,114662,2%
Delhi,2019,2,Others,611121,10%
Delhi,2019,3,Xiaomi,1749719,26%
Delhi,2019,3,Samsung,1305636,19%
Delhi,2019,3,Vivo,1001823,15%
Delhi,2019,3,Oppo,749989,11%
Delhi,2019,3,Apple,392389,6%
Delhi,2019,3,Realme,269723,4%
Delhi,2019,3,Motorola,210710,3%
Delhi,2019,3,OnePlus,206752,3%
Delhi,2019,3,Huawei,125962,2%
Delhi,2019,3,Lenovo,119861,2%
Delhi,2019,3,Others,649722,10%
Delhi,2019,4,Xiaomi,1872284,26%
Delhi,2019,4,Samsung,1394404,19%
Delhi,2019,4,Vivo,1114120,15%
Delhi,2019,4,Oppo,825921,11%
Delhi,2019,4,Apple,414754,6%
Delhi,2019,4,Realme,300540,4%
Delhi,2019,4,Motorola,217242,3%
Delhi,2019,4,OnePlus,216727,3%
Delhi,2019,4,Huawei,134371,2%
Delhi,2019,4,Lenovo,121793,2%
Delhi,2019,4,Others,677727,9%
Delhi,2020,1,Xiaomi,1998766,26%
Delhi,2020,1,Samsung,1484289,19%
Delhi,2020,1,Vivo,1238728,16%
Delhi,2020,1,Oppo,909331,12%
Delhi,2020,1,Apple,436979,6%
Delhi,2020,1,Realme,333567,4%
Delhi,2020,1,OnePlus,225852,3%
Delhi,2020,1,Motorola,223909,3%
Delhi,2020,1,Huawei,142660,2%
Delhi,2020,1,Lenovo,124278,2%
Delhi,2020,1,Others,707838,9%
Delhi,2020,2,Xiaomi,2125586,25%
Delhi,2020,2,Samsung,1585854,19%
Delhi,2020,2,Vivo,1364186,16%
Delhi,2020,2,Oppo,1002444,12%
Delhi,2020,2,Apple,458450,5%
Delhi,2020,2,Realme,366179,4%
Delhi,2020,2,OnePlus,233802,3%
Delhi,2020,2,Motorola,231246,3%
Delhi,2020,2,Huawei,150807,2%
Delhi,2020,2,Lenovo,127388,2%
Delhi,2020,2,Others,745197,9%
Delhi,2020,3,Xiaomi,2264717,25%
Delhi,2020,3,Samsung,1707446,19%
Delhi,2020,3,Vivo,1516602,17%
Delhi,2020,3,Oppo,1106202,12%
Delhi,2020,3,Apple,485868,5%
Delhi,2020,3,Realme,406930,4%
Delhi,2020,3,OnePlus,244532,3%
Delhi,2020,3,Motorola,238737,3%
Delhi,2020,3,Huawei,159503,2%
Delhi,2020,3,Lenovo,131036,1%
Delhi,2020,3,Others,782601,9%
Delhi,2020,4,Xiaomi,2416705,25%
Delhi,2020,4,Samsung,1842707,19%
Delhi,2020,4,Vivo,1673743,17%
Delhi,2020,4,Oppo,1209582,12%
Delhi,2020,4,Apple,518592,5%
Delhi,2020,4,Realme,452392,5%
Delhi,2020,4,OnePlus,256533,3%
Delhi,2020,4,Motorola,246834,3%
Delhi,2020,4,Huawei,168898,2%
Delhi,2020,4,Lenovo,134947,1%
Delhi,2020,4,Others,827035,8%
Delhi,2021,1,Xiaomi,2575350,25%
Delhi,2021,1,Samsung,1963994,19%
Delhi,2021,1,Vivo,1839180,18%
Delhi,2021,1,Oppo,1318743,13%
Delhi,2021,1,Apple,555462,5%
Delhi,2021,1,Realme,511070,5%
Delhi,2021,1,OnePlus,269742,3%
Delhi,2021,1,Motorola,253270,2%
Delhi,2021,1,Huawei,175712,2%
Delhi,2021,1,Lenovo,137068,1%
Delhi,2021,1,Others,867619,8%
Delhi,2021,2,Xiaomi,2731995,24%
Delhi,2021,2,Samsung,2070161,19%
Delhi,2021,2,Vivo,2011494,18%
Delhi,2021,2,Oppo,1432860,13%
Delhi,2021,2,Realme,596308,5%
Delhi,2021,2,Apple,591905,5%
Delhi,2021,2,OnePlus,291216,3%
Delhi,2021,2,Motorola,252565,2%
Delhi,2021,2,Huawei,176234,2%
Delhi,2021,2,Lenovo,134680,1%
Delhi,2021,2,Others,893281,8%
Delhi,2021,3,Xiaomi,2897206,24%
Delhi,2021,3,Vivo,2220413,19%
Delhi,2021,3,Samsung,2149622,18%
Delhi,2021,3,Oppo,1566918,13%
Delhi,2021,3,Realme,707377,6%
Delhi,2021,3,Apple,631640,5%
Delhi,2021,3,OnePlus,331920,3%
Delhi,2021,3,Motorola,250528,2%
Delhi,2021,3,Huawei,172290,1%
Delhi,2021,3,Tecno,148235,1%
Delhi,2021,3,Others,903912,8%
Delhi,2021,4,Xiaomi,3028207,24%
Delhi,2021,4,Vivo,2413197,19%
Delhi,2021,4,Samsung,2238115,18%
Delhi,2021,4,Oppo,1697646,13%
Delhi,2021,4,Realme,840595,7%
Delhi,2021,4,Apple,705541,6%
Delhi,2021,4,OnePlus,369158,3%
Delhi,2021,4,Motorola,250976,2%
Delhi,2021,4,Tecno,176336,1%
Delhi,2021,4,Huawei,166930,1%
Delhi,2021,4,Others,898426,7%
Delhi,2022,1,Xiaomi,3155264,23%
Delhi,2022,1,Vivo,2586749,19%
Delhi,2022,1,Samsung,2320460,17%
Delhi,2022,1,Oppo,1817979,13%
Delhi,2022,1,Realme,964540,7%
Delhi,2022,1,Apple,761100,6%
Delhi,2022,1,OnePlus,404741,3%
Delhi,2022,1,Motorola,252427,2%
Delhi,2022,1,Tecno,206904,2%
Delhi,2022,1,Huawei,164421,1%
Delhi,2022,1,Others,904612,7%
Goa,2018,1,Xiaomi,23388,25%
Goa,2018,1,Samsung,19288,21%
Goa,2018,1,Vivo,8719,9%
Goa,2018,1,Oppo,6969,8%
Goa,2018,1,Apple,5957,6%
Goa,2018,1,OnePlus,5457,6%
Goa,2018,1,Motorola,4236,5%
Goa,2018,1,Realme,4094,4%
Goa,2018,1,Lenovo,2542,3%
Goa,2018,1,Huawei,1595,2%
Goa,2018,1,Others,9691,11%
Goa,2018,2,Xiaomi,31481,26%
Goa,2018,2,Samsung,25483,21%
Goa,2018,2,Vivo,12317,10%
Goa,2018,2,Oppo,9547,8%
Goa,2018,2,Apple,7433,6%
Goa,2018,2,OnePlus,6696,5%
Goa,2018,2,Motorola,5508,5%
Goa,2018,2,Realme,5427,4%
Goa,2018,2,Lenovo,3352,3%
Goa,2018,2,Huawei,2237,2%
Goa,2018,2,Others,12693,10%
Goa,2018,3,Xiaomi,39803,26%
Goa,2018,3,Samsung,32023,21%
Goa,2018,3,Vivo,16778,11%
Goa,2018,3,Oppo,12470,8%
Goa,2018,3,Apple,8815,6%
Goa,2018,3,OnePlus,7931,5%
Goa,2018,3,Realme,6878,4%
Goa,2018,3,Motorola,6674,4%
Goa,2018,3,Lenovo,3860,3%
Goa,2018,3,Huawei,3053,2%
Goa,2018,3,Others,15517,10%
Goa,2018,4,Xiaomi,50867,26%
Goa,2018,4,Samsung,40683,21%
Goa,2018,4,Vivo,22715,12%
Goa,2018,4,Oppo,16672,9%
Goa,2018,4,Apple,10884,6%
Goa,2018,4,OnePlus,9442,5%
Goa,2018,4,Realme,8708,4%
Goa,2018,4,Motorola,8176,4%
Goa,2018,4,Lenovo,4769,2%
Goa,2018,4,Huawei,3965,2%
Goa,2018,4,Others,18469,9%
Goa,2019,1,Xiaomi,62065,26%
Goa,2019,1,Samsung,49562,21%
Goa,2019,1,Vivo,29218,12%
Goa,2019,1,Oppo,20988,9%
Goa,2019,1,Apple,12909,5%
Goa,2019,1,OnePlus,10892,5%
Goa,2019,1,Realme,10545,4%
Goa,2019,1,Motorola,9355,4%
Goa,2019,1,Lenovo,5440,2%
Goa,2019,1,Huawei,5049,2%
Goa,2019,1,Others,22129,9%
Goa,2019,2,Xiaomi,72286,26%
Goa,2019,2,Samsung,58572,21%
Goa,2019,2,Vivo,35425,13%
Goa,2019,2,Oppo,25325,9%
Goa,2019,2,Apple,14770,5%
Goa,2019,2,Realme,12215,4%
Goa,2019,2,OnePlus,12033,4%
Goa,2019,2,Motorola,10716,4%
Goa,2019,2,Lenovo,6125,2%
Goa,2019,2,Huawei,5990,2%
Goa,2019,2,Others,25483,9%
Goa,2019,3,Xiaomi,81621,26%
Goa,2019,3,Samsung,66756,21%
Goa,2019,3,Vivo,41691,13%
Goa,2019,3,Oppo,29561,9%
Goa,2019,3,Apple,16481,5%
Goa,2019,3,Realme,14157,4%
Goa,2019,3,OnePlus,13220,4%
Goa,2019,3,Motorola,11738,4%
Goa,2019,3,Huawei,6882,2%
Goa,2019,3,Lenovo,6410,2%
Goa,2019,3,Others,28677,9%
Goa,2019,4,Xiaomi,90791,26%
Goa,2019,4,Samsung,74339,21%
Goa,2019,4,Vivo,48072,14%
Goa,2019,4,Oppo,34061,10%
Goa,2019,4,Apple,17817,5%
Goa,2019,4,Realme,16393,5%
Goa,2019,4,OnePlus,14159,4%
Goa,2019,4,Motorola,12521,4%
Goa,2019,4,Huawei,7674,2%
Goa,2019,4,Lenovo,6696,2%
Goa,2019,4,Others,31023,9%
Goa,2020,1,Xiaomi,100364,26%
Goa,2020,1,Samsung,82358,21%
Goa,2020,1,Vivo,54965,14%
Goa,2020,1,Oppo,38778,10%
Goa,2020,1,Apple,19244,5%
Goa,2020,1,Realme,18803,5%
Goa,2020,1,OnePlus,14926,4%
Goa,2020,1,Motorola,13118,3%
Goa,2020,1,Huawei,8459,2%
Goa,2020,1,Lenovo,7167,2%
Goa,2020,1,Others,33718,9%
Goa,2020,2,Xiaomi,109624,25%
Goa,2020,2,Samsung,90927,21%
Goa,2020,2,Vivo,61868,14%
Goa,2020,2,Oppo,43887,10%
Goa,2020,2,Realme,21236,5%
Goa,2020,2,Apple,20388,5%
Goa,2020,2,OnePlus,15482,4%
Goa,2020,2,Motorola,13908,3%
Goa,2020,2,Huawei,9221,2%
Goa,2020,2,Lenovo,7481,2%
Goa,2020,2,Others,36617,9%
Goa,2020,3,Xiaomi,119983,25%
Goa,2020,3,Samsung,101577,21%
Goa,2020,3,Vivo,69991,15%
Goa,2020,3,Oppo,49411,10%
Goa,2020,3,Realme,24328,5%
Goa,2020,3,Apple,21967,5%
Goa,2020,3,OnePlus,16389,3%
Goa,2020,3,Motorola,14656,3%
Goa,2020,3,Huawei,9964,2%
Goa,2020,3,Lenovo,7790,2%
Goa,2020,3,Others,38906,8%
Goa,2020,4,Xiaomi,132099,25%
Goa,2020,4,Samsung,114296,22%
Goa,2020,4,Vivo,78921,15%
Goa,2020,4,Oppo,55468,11%
Goa,2020,4,Realme,28000,5%
Goa,2020,4,Apple,24214,5%
Goa,2020,4,OnePlus,17571,3%
Goa,2020,4,Motorola,15500,3%
Goa,2020,4,Huawei,10821,2%
Goa,2020,4,Lenovo,8172,2%
Goa,2020,4,Others,42522,8%
Goa,2021,1,Xiaomi,142193,25%
Goa,2021,1,Samsung,123133,22%
Goa,2021,1,Vivo,87010,15%
Goa,2021,1,Oppo,60381,11%
Goa,2021,1,Realme,31824,6%
Goa,2021,1,Apple,26139,5%
Goa,2021,1,OnePlus,18577,3%
Goa,2021,1,Motorola,15944,3%
Goa,2021,1,Huawei,11414,2%
Goa,2021,1,Lenovo,8178,1%
Goa,2021,1,Others,45242,8%
Goa,2021,2,Xiaomi,152107,25%
Goa,2021,2,Samsung,129938,21%
Goa,2021,2,Vivo,94216,15%
Goa,2021,2,Oppo,64685,11%
Goa,2021,2,Realme,37973,6%
Goa,2021,2,Apple,28049,5%
Goa,2021,2,OnePlus,19803,3%
Goa,2021,2,Motorola,15937,3%
Goa,2021,2,Huawei,11315,2%
Goa,2021,2,Lenovo,7861,1%
Goa,2021,2,Others,47222,8%
Goa,2021,3,Xiaomi,163235,25%
Goa,2021,3,Samsung,135615,21%
Goa,2021,3,Vivo,103139,16%
Goa,2021,3,Oppo,69841,11%
Goa,2021,3,Realme,45087,7%
Goa,2021,3,Apple,29989,5%
Goa,2021,3,OnePlus,22136,3%
Goa,2021,3,Motorola,15824,2%
Goa,2021,3,Huawei,11214,2%
Goa,2021,3,Tecno,7719,1%
Goa,2021,3,Others,49659,8%
Goa,2021,4,Xiaomi,172749,25%
Goa,2021,4,Samsung,141066,20%
Goa,2021,4,Vivo,110824,16%
Goa,2021,4,Oppo,75088,11%
Goa,2021,4,Realme,53598,8%
Goa,2021,4,Apple,33398,5%
Goa,2021,4,OnePlus,24355,3%
Goa,2021,4,Motorola,16068,2%
Goa,2021,4,Huawei,10899,2%
Goa,2021,4,Tecno,9081,1%
Goa,2021,4,Others,50052,7%
Goa,2022,1,Xiaomi,181266,25%
Goa,2022,1,Samsung,146487,20%
Goa,2022,1,Vivo,118448,16%
Goa,2022,1,Oppo,80145,11%
Goa,2022,1,Realme,60870,8%
Goa,2022,1,Apple,36235,5%
Goa,2022,1,OnePlus,26283,4%
Goa,2022,1,Motorola,16125,2%
Goa,2022,1,Huawei,10823,1%
Goa,2022,1,Tecno,10780,1%
Goa,2022,1,Others,51166,7%
Gujarat,2018,1,Xiaomi,655082,24%
Gujarat,2018,1,Samsung,589816,22%
Gujarat,2018,1,Vivo,424397,16%
Gujarat,2018,1,Oppo,297896,11%
Gujarat,2018,1,Apple,124833,5%
Gujarat,2018,1,Realme,107796,4%
Gujarat,2018,1,OnePlus,85786,3%
Gujarat,2018,1,Lenovo,74654,3%
Gujarat,2018,1,Motorola,65692,2%
Gujarat,2018,1,Huawei,32104,1%
Gujarat,2018,1,Others,231992,9%
Gujarat,2018,2,Xiaomi,877057,25%
Gujarat,2018,2,Samsung,771605,22%
Gujarat,2018,2,Vivo,588311,16%
Gujarat,2018,2,Oppo,406366,11%
Gujarat,2018,2,Apple,158941,4%
Gujarat,2018,2,Realme,139735,4%
Gujarat,2018,2,OnePlus,104673,3%
Gujarat,2018,2,Lenovo,94848,3%
Gujarat,2018,2,Motorola,82342,2%
Gujarat,2018,2,Huawei,42387,1%
Gujarat,2018,2,Others,299560,8%
Gujarat,2018,3,Xiaomi,1090580,25%
Gujarat,2018,3,Samsung,952941,21%
Gujarat,2018,3,Vivo,773925,17%
Gujarat,2018,3,Oppo,521622,12%
Gujarat,2018,3,Apple,186759,4%
Gujarat,2018,3,Realme,171742,4%
Gujarat,2018,3,OnePlus,121797,3%
Gujarat,2018,3,Lenovo,107576,2%
Gujarat,2018,3,Motorola,95285,2%
Gujarat,2018,3,Huawei,53733,1%
Gujarat,2018,3,Others,357223,8%
Gujarat,2018,4,Xiaomi,1363826,24%
Gujarat,2018,4,Samsung,1194869,21%
Gujarat,2018,4,Vivo,1025717,18%
Gujarat,2018,4,Oppo,679260,12%
Gujarat,2018,4,Apple,230209,4%
Gujarat,2018,4,Realme,212094,4%
Gujarat,2018,4,OnePlus,145412,3%
Gujarat,2018,4,Lenovo,127399,2%
Gujarat,2018,4,Motorola,112287,2%
Gujarat,2018,4,Huawei,68005,1%
Gujarat,2018,4,Others,419962,8%
Gujarat,2019,1,Xiaomi,1611706,24%
Gujarat,2019,1,Samsung,1419211,21%
Gujarat,2019,1,Vivo,1271697,19%
Gujarat,2019,1,Oppo,837507,13%
Gujarat,2019,1,Apple,266733,4%
Gujarat,2019,1,Realme,248960,4%
Gujarat,2019,1,OnePlus,164369,2%
Gujarat,2019,1,Lenovo,143180,2%
Gujarat,2019,1,Motorola,124721,2%
Gujarat,2019,1,Huawei,81525,1%
Gujarat,2019,1,Others,482927,7%
Gujarat,2019,2,Xiaomi,1819154,24%
Gujarat,2019,2,Samsung,1612210,21%
Gujarat,2019,2,Vivo,1487567,20%
Gujarat,2019,2,Oppo,976688,13%
Gujarat,2019,2,Apple,301303,4%
Gujarat,2019,2,Realme,281975,4%
Gujarat,2019,2,OnePlus,180243,2%
Gujarat,2019,2,Lenovo,158443,2%
Gujarat,2019,2,Motorola,134995,2%
Gujarat,2019,2,Huawei,92218,1%
Gujarat,2019,2,Others,529849,7%
Gujarat,2019,3,Xiaomi,2007322,24%
Gujarat,2019,3,Samsung,1784247,21%
Gujarat,2019,3,Vivo,1706171,20%
Gujarat,2019,3,Oppo,1111618,13%
Gujarat,2019,3,Apple,330663,4%
Gujarat,2019,3,Realme,318122,4%
Gujarat,2019,3,OnePlus,194687,2%
Gujarat,2019,3,Lenovo,161748,2%
Gujarat,2019,3,Motorola,141326,2%
Gujarat,2019,3,Huawei,102241,1%
Gujarat,2019,3,Others,571154,7%
Gujarat,2019,4,Xiaomi,2194279,24%
Gujarat,2019,4,Samsung,1961599,21%
Gujarat,2019,4,Vivo,1944394,21%
Gujarat,2019,4,Oppo,1262789,14%
Gujarat,2019,4,Realme,362885,4%
Gujarat,2019,4,Apple,353958,4%
Gujarat,2019,4,OnePlus,206534,2%
Gujarat,2019,4,Lenovo,169920,2%
Gujarat,2019,4,Motorola,147476,2%
Gujarat,2019,4,Huawei,111054,1%
Gujarat,2019,4,Others,608911,7%
Gujarat,2020,1,Xiaomi,2375291,23%
Gujarat,2020,1,Vivo,2206536,22%
Gujarat,2020,1,Samsung,2139753,21%
Gujarat,2020,1,Oppo,1429059,14%
Gujarat,2020,1,Realme,411217,4%
Gujarat,2020,1,Apple,377075,4%
Gujarat,2020,1,OnePlus,216733,2%
Gujarat,2020,1,Lenovo,183981,2%
Gujarat,2020,1,Motorola,152517,1%
Gujarat,2020,1,Huawei,119412,1%
Gujarat,2020,1,Others,648269,6%
Gujarat,2020,2,Xiaomi,2596510,23%
Gujarat,2020,2,Vivo,2517289,22%
Gujarat,2020,2,Samsung,2358840,21%
Gujarat,2020,2,Oppo,1638925,14%
Gujarat,2020,2,Realme,464677,4%
Gujarat,2020,2,Apple,399962,4%
Gujarat,2020,2,OnePlus,225499,2%
Gujarat,2020,2,Lenovo,199446,2%
Gujarat,2020,2,Motorola,159087,1%
Gujarat,2020,2,Huawei,128197,1%
Gujarat,2020,2,Others,704225,6%
Gujarat,2020,3,Vivo,2833786,23%
Gujarat,2020,3,Xiaomi,2792901,22%
Gujarat,2020,3,Samsung,2570866,21%
Gujarat,2020,3,Oppo,1827108,15%
Gujarat,2020,3,Realme,525717,4%
Gujarat,2020,3,Apple,425591,3%
Gujarat,2020,3,OnePlus,236755,2%
Gujarat,2020,3,Lenovo,211958,2%
Gujarat,2020,3,Motorola,164618,1%
Gujarat,2020,3,Huawei,135946,1%
Gujarat,2020,3,Others,742601,6%
Gujarat,2020,4,Vivo,3159752,23%
Gujarat,2020,4,Xiaomi,2998305,22%
Gujarat,2020,4,Samsung,2800655,21%
Gujarat,2020,4,Oppo,2016643,15%
Gujarat,2020,4,Realme,592948,4%
Gujarat,2020,4,Apple,456563,3%
Gujarat,2020,4,OnePlus,249222,2%
Gujarat,2020,4,Lenovo,223106,2%
Gujarat,2020,4,Motorola,170289,1%
Gujarat,2020,4,Huawei,144035,1%
Gujarat,2020,4,Others,793685,6%
Gujarat,2021,1,Vivo,3492512,24%
Gujarat,2021,1,Xiaomi,3197714,22%
Gujarat,2021,1,Samsung,2987011,20%
Gujarat,2021,1,Oppo,2188804,15%
Gujarat,2021,1,Realme,666628,5%
Gujarat,2021,1,Apple,489078,3%
Gujarat,2021,1,OnePlus,264150,2%
Gujarat,2021,1,Lenovo,224880,2%
Gujarat,2021,1,Motorola,174216,1%
Gujarat,2021,1,Huawei,149907,1%
Gujarat,2021,1,Others,835226,6%
Gujarat,2021,2,Vivo,3834323,24%
Gujarat,2021,2,Xiaomi,3362430,21%
Gujarat,2021,2,Samsung,3154317,20%
Gujarat,2021,2,Oppo,2364362,15%
Gujarat,2021,2,Realme,790357,5%
Gujarat,2021,2,Apple,529166,3%
Gujarat,2021,2,OnePlus,293085,2%
Gujarat,2021,2,Lenovo,218253,1%
Gujarat,2021,2,Motorola,173429,1%
Gujarat,2021,2,Huawei,146703,1%
Gujarat,2021,2,Others,869556,6%
Gujarat,2021,3,Vivo,4261214,25%
Gujarat,2021,3,Xiaomi,3544088,21%
Gujarat,2021,3,Samsung,3267319,19%
Gujarat,2021,3,Oppo,2580826,15%
Gujarat,2021,3,Realme,932371,6%
Gujarat,2021,3,Apple,569577,3%
Gujarat,2021,3,OnePlus,345805,2%
Gujarat,2021,3,Lenovo,210237,1%
Gujarat,2021,3,Motorola,172358,1%
Gujarat,2021,3,Tecno,161791,1%
Gujarat,2021,3,Others,901175,5%
Gujarat,2021,4,Vivo,4645259,26%
Gujarat,2021,4,Xiaomi,3700589,20%
Gujarat,2021,4,Samsung,3390165,19%
Gujarat,2021,4,Oppo,2791203,15%
Gujarat,2021,4,Realme,1116664,6%
Gujarat,2021,4,Apple,635160,4%
Gujarat,2021,4,OnePlus,397948,2%
Gujarat,2021,4,Lenovo,199946,1%
Gujarat,2021,4,Tecno,187064,1%
Gujarat,2021,4,Motorola,174499,1%
Gujarat,2021,4,Others,900704,5%
Gujarat,2022,1,Vivo,4996272,26%
Gujarat,2022,1,Xiaomi,3842766,20%
Gujarat,2022,1,Samsung,3511762,18%
Gujarat,2022,1,Oppo,2996365,16%
Gujarat,2022,1,Realme,1272108,7%
Gujarat,2022,1,Apple,693504,4%
Gujarat,2022,1,OnePlus,441053,2%
Gujarat,2022,1,Tecno,223305,1%
Gujarat,2022,1,Lenovo,203354,1%
Gujarat,2022,1,Motorola,174739,1%
Gujarat,2022,1,Others,910086,5%
Haryana,2018,1,Xiaomi,444407,24%
Haryana,2018,1,Samsung,394835,21%
Haryana,2018,1,Vivo,256267,14%
Haryana,2018,1,Oppo,192587,10%
Haryana,2018,1,Apple,100085,5%
Haryana,2018,1,Realme,89281,5%
Haryana,2018,1,OnePlus,55486,3%
Haryana,2018,1,Motorola,53420,3%
Haryana,2018,1,Lenovo,34977,2%
Haryana,2018,1,Huawei,29629,2%
Haryana,2018,1,Others,196383,11%
Haryana,2018,2,Xiaomi,599986,25%
Haryana,2018,2,Samsung,516011,21%
Haryana,2018,2,Vivo,351564,14%
Haryana,2018,2,Oppo,260510,11%
Haryana,2018,2,Apple,127528,5%
Haryana,2018,2,Realme,116691,5%
Haryana,2018,2,Motorola,68775,3%
Haryana,2018,2,OnePlus,67358,3%
Haryana,2018,2,Lenovo,44001,2%
Haryana,2018,2,Huawei,39423,2%
Haryana,2018,2,Others,255374,10%
Haryana,2018,3,Xiaomi,751015,25%
Haryana,2018,3,Samsung,630157,21%
Haryana,2018,3,Vivo,451732,15%
Haryana,2018,3,Oppo,328450,11%
Haryana,2018,3,Apple,152459,5%
Haryana,2018,3,Realme,143729,5%
Haryana,2018,3,Motorola,81942,3%
Haryana,2018,3,OnePlus,79279,3%
Haryana,2018,3,Huawei,50399,2%
Haryana,2018,3,Lenovo,49707,2%
Haryana,2018,3,Others,301529,10%
Haryana,2018,4,Xiaomi,948615,25%
Haryana,2018,4,Samsung,785842,21%
Haryana,2018,4,Vivo,591623,16%
Haryana,2018,4,Oppo,427382,11%
Haryana,2018,4,Apple,187472,5%
Haryana,2018,4,Realme,179167,5%
Haryana,2018,4,Motorola,98841,3%
Haryana,2018,4,OnePlus,93582,2%
Haryana,2018,4,Huawei,65203,2%
Haryana,2018,4,Lenovo,59641,2%
Haryana,2018,4,Others,355711,9%
Haryana,2019,1,Xiaomi,1136307,25%
Haryana,2019,1,Samsung,934852,21%
Haryana,2019,1,Vivo,732478,16%
Haryana,2019,1,Oppo,527926,12%
Haryana,2019,1,Apple,216144,5%
Haryana,2019,1,Realme,213023,5%
Haryana,2019,1,Motorola,111982,2%
Haryana,2019,1,OnePlus,105006,2%
Haryana,2019,1,Huawei,80507,2%
Haryana,2019,1,Lenovo,67191,1%
Haryana,2019,1,Others,413351,9%
Haryana,2019,2,Xiaomi,1301537,25%
Haryana,2019,2,Samsung,1060392,20%
Haryana,2019,2,Vivo,854882,17%
Haryana,2019,2,Oppo,615320,12%
Haryana,2019,2,Realme,244076,5%
Haryana,2019,2,Apple,243241,5%
Haryana,2019,2,Motorola,122500,2%
Haryana,2019,2,OnePlus,114507,2%
Haryana,2019,2,Huawei,92344,2%
Haryana,2019,2,Lenovo,72976,1%
Haryana,2019,2,Others,456255,9%
Haryana,2019,3,Xiaomi,1453801,25%
Haryana,2019,3,Samsung,1177753,20%
Haryana,2019,3,Vivo,977699,17%
Haryana,2019,3,Oppo,699529,12%
Haryana,2019,3,Realme,278941,5%
Haryana,2019,3,Apple,268393,5%
Haryana,2019,3,Motorola,129804,2%
Haryana,2019,3,OnePlus,123917,2%
Haryana,2019,3,Huawei,103942,2%
Haryana,2019,3,Lenovo,73965,1%
Haryana,2019,3,Others,496008,9%
Haryana,2019,4,Xiaomi,1597800,25%
Haryana,2019,4,Samsung,1285177,20%
Haryana,2019,4,Vivo,1103105,17%
Haryana,2019,4,Oppo,785251,12%
Haryana,2019,4,Realme,319391,5%
Haryana,2019,4,Apple,288206,5%
Haryana,2019,4,Motorola,136766,2%
Haryana,2019,4,OnePlus,130817,2%
Haryana,2019,4,Huawei,113928,2%
Haryana,2019,4,Lenovo,76631,1%
Haryana,2019,4,Others,529607,8%
Haryana,2020,1,Xiaomi,1753322,25%
Haryana,2020,1,Samsung,1400065,20%
Haryana,2020,1,Vivo,1250165,18%
Haryana,2020,1,Oppo,881733,13%
Haryana,2020,1,Realme,364011,5%
Haryana,2020,1,Apple,308315,4%
Haryana,2020,1,Motorola,143514,2%
Haryana,2020,1,OnePlus,137007,2%
Haryana,2020,1,Huawei,123916,2%
Haryana,2020,1,Lenovo,80705,1%
Haryana,2020,1,Others,576017,8%
Haryana,2020,2,Xiaomi,1914791,25%
Haryana,2020,2,Samsung,1520490,20%
Haryana,2020,2,Vivo,1398622,18%
Haryana,2020,2,Oppo,984512,13%
Haryana,2020,2,Realme,407778,5%
Haryana,2020,2,Apple,326534,4%
Haryana,2020,2,Motorola,151138,2%
Haryana,2020,2,OnePlus,142338,2%
Haryana,2020,2,Huawei,133152,2%
Haryana,2020,2,Lenovo,83928,1%
Haryana,2020,2,Others,619595,8%
Haryana,2020,3,Xiaomi,2075024,25%
Haryana,2020,3,Samsung,1655037,20%
Haryana,2020,3,Vivo,1573430,19%
Haryana,2020,3,Oppo,1092131,13%
Haryana,2020,3,Realme,459785,5%
Haryana,2020,3,Apple,348330,4%
Haryana,2020,3,Motorola,158324,2%
Haryana,2020,3,OnePlus,149108,2%
Haryana,2020,3,Huawei,142260,2%
Haryana,2020,3,Lenovo,87838,1%
Haryana,2020,3,Others,657549,8%
Haryana,2020,4,Xiaomi,2236661,24%
Haryana,2020,4,Samsung,1795147,20%
Haryana,2020,4,Vivo,1744266,19%
Haryana,2020,4,Oppo,1196039,13%
Haryana,2020,4,Realme,514733,6%
Haryana,2020,4,Apple,374080,4%
Haryana,2020,4,Motorola,165075,2%
Haryana,2020,4,OnePlus,156430,2%
Haryana,2020,4,Huawei,151226,2%
Haryana,2020,4,Lenovo,91990,1%
Haryana,2020,4,Others,704226,8%
Haryana,2021,1,Xiaomi,2382996,24%
Haryana,2021,1,Vivo,1922898,20%
Haryana,2021,1,Samsung,1913165,19%
Haryana,2021,1,Oppo,1300515,13%
Haryana,2021,1,Realme,577867,6%
Haryana,2021,1,Apple,401563,4%
Haryana,2021,1,Motorola,169504,2%
Haryana,2021,1,OnePlus,165335,2%
Haryana,2021,1,Huawei,157570,2%
Haryana,2021,1,Lenovo,92713,1%
Haryana,2021,1,Others,743779,8%
Haryana,2021,2,Xiaomi,2505880,24%
Haryana,2021,2,Vivo,2114734,20%
Haryana,2021,2,Samsung,2016108,19%
Haryana,2021,2,Oppo,1416092,13%
Haryana,2021,2,Realme,673053,6%
Haryana,2021,2,Apple,434298,4%
Haryana,2021,2,OnePlus,181344,2%
Haryana,2021,2,Motorola,169562,2%
Haryana,2021,2,Huawei,154484,1%
Haryana,2021,2,Tecno,108879,1%
Haryana,2021,2,Others,756160,7%
Haryana,2021,3,Xiaomi,2638176,23%
Haryana,2021,3,Vivo,2357220,21%
Haryana,2021,3,Samsung,2089070,18%
Haryana,2021,3,Oppo,1560205,14%
