States,year,quarter,brand,user_counts,percentage
Andaman & Nicobar Islands,2020,1,Huawei,891,3%
Andaman & Nicobar Islands,2020,1,Apple,735,3%
Andaman & Nicobar Islands,2020,1,Motorola,715,3%
Andaman & Nicobar Islands,2020,1,Lenovo,500,2%
Andaman & Nicobar Islands,2020,1,Others,2257,8%
Andaman & Nicobar Islands,2020,2,Xiaomi,7805,24%
Andaman & Nicobar Islands,2020,2,Vivo,7122,22%
Andaman & Nicobar Islands,2020,2,Samsung,6030,18%
Andaman & Nicobar Islands,2020,2,Oppo,2976,9%
Andaman & Nicobar Islands,2020,2,Realme,1761,5%
Andaman & Nicobar Islands,2020,2,OnePlus,1271,4%
Andaman & Nicobar Islands,2020,2,Huawei,1005,3%
Andaman & Nicobar Islands,2020,2,Apple,792,2%
Andaman & Nicobar Islands,2020,2,Motorola,779,2%
Andaman & Nicobar Islands,2020,2,Lenovo,552,2%
Andaman & Nicobar Islands,2020,2,Others,2617,8%
Andaman & Nicobar Islands,2020,3,Xiaomi,9794,24%
Andaman & Nicobar Islands,2020,3,Vivo,9556,23%
Andaman & Nicobar Islands,2020,3,Samsung,7572,18%
Andaman & Nicobar Islands,2020,3,Oppo,3730,9%
Andaman & Nicobar Islands,2020,3,Realme,2285,6%
Andaman & Nicobar Islands,2020,3,OnePlus,1440,3%
Andaman & Nicobar Islands,2020,3,Huawei,1213,3%
Andaman & Nicobar Islands,2020,3,Motorola,907,2%
Andaman & Nicobar Islands,2020,3,Apple,870,2%
Andaman & Nicobar Islands,2020,3,Lenovo,606,1%
Andaman & Nicobar Islands,2020,3,Others,3362,8%
Andaman & Nicobar Islands,2020,4,Xiaomi,12398,24%
Andaman & Nicobar Islands,2020,4,Vivo,12275,23%
Andaman & Nicobar Islands,2020,4,Samsung,9938,19%
Andaman & Nicobar Islands,2020,4,Oppo,4723,9%
Andaman & Nicobar Islands,2020,4,Realme,2996,6%
Andaman & Nicobar Islands,2020,4,OnePlus,1638,3%
Andaman & Nicobar Islands,2020,4,Huawei,1472,3%
Andaman & Nicobar Islands,2020,4,Motorola,1032,2%
Andaman & Nicobar Islands,2020,4,Apple,973,2%
Andaman & Nicobar Islands,2020,4,Lenovo,708,1%
Andaman & Nicobar Islands,2020,4,Others,4243,8%
Andaman & Nicobar Islands,2021,1,Vivo,13812,24%
Andaman & Nicobar Islands,2021,1,Xiaomi,13714,24%
Andaman & Nicobar Islands,2021,1,Samsung,10861,19%
Andaman & Nicobar Islands,2021,1,Oppo,5158,9%
Andaman & Nicobar Islands,2021,1,Realme,3419,6%
Andaman & Nicobar Islands,2021,1,OnePlus,1773,3%
Andaman & Nicobar Islands,2021,1,Huawei,1575,3%
Andaman & Nicobar Islands,2021,1,Motorola,1062,2%
Andaman & Nicobar Islands,2021,1,Apple,1056,2%
Andaman & Nicobar Islands,2021,1,Tecno,796,1%
Andaman & Nicobar Islands,2021,1,Others,4532,8%
Andaman & Nicobar Islands,2021,2,Vivo,15056,24%
Andaman & Nicobar Islands,2021,2,Xiaomi,14788,24%
Andaman & Nicobar Islands,2021,2,Samsung,11476,18%
Andaman & Nicobar Islands,2021,2,Oppo,5456,9%
Andaman & Nicobar Islands,2021,2,Realme,4034,6%
Andaman & Nicobar Islands,2021,2,OnePlus,1981,3%
Andaman & Nicobar Islands,2021,2,Huawei,1559,3%
Andaman & Nicobar Islands,2021,2,Apple,1153,2%
Andaman & Nicobar Islands,2021,2,Motorola,1054,2%
Andaman & Nicobar Islands,2021,2,Tecno,974,2%
Andaman & Nicobar Islands,2021,2,Others,4564,7%
Andaman & Nicobar Islands,2021,3,Vivo,16411,25%
Andaman & Nicobar Islands,2021,3,Xiaomi,15938,24%
