States,year,quarter,District,trans_counts,amount
Gujarat,2021,4,Gir Somnath District,1171670,2747773641.937811
Gujarat,2021,4,Valsad District,5798487,9554286592.777279
Gujarat,2021,4,Mahisagar District,559971,1204459443.9334922
Gujarat,2021,4,Sabar Kantha District,2653416,5247467974.524677
Gujarat,2021,4,Tapi District,1283905,2146758330.3483462
Gujarat,2021,4,Vadodara District,12675332,20051547592.84434
Gujarat,2021,4,Banas Kantha District,6396725,14662295530.137411
Gujarat,2021,4,Amreli District,1108699,2596504411.0415044
Gujarat,2021,4,Ahmadabad District,70075885,124559345468.3193
Gujarat,2021,4,Dohad District,1212646,2565405628.4936953
Gujarat,2021,4,Navsari District,2220944,3782948232.168639
Gujarat,2021,4,Patan District,2293931,4836124445.336521
Gujarat,2021,4,Kachchh District,5470337,11281039516.16741
Gujarat,2021,4,Surendranagar District,1571774,3524100667.287108
Gujarat,2021,4,Morbi District,1763058,4532702026.275787
Gujarat,2022,1,Anand District,3048076,5515844714
Gujarat,2022,1,Jamnagar District,2155185,3995387220.064081
Gujarat,2022,1,Devbhumi Dwarka District,577554,1393188002.364659
Gujarat,2022,1,Rajkot District,5044420,11183107357.24979
Gujarat,2022,1,Aravallis District,1603295,3245867370
Gujarat,2022,1,Chhotaudepur District,469160,961037555.5333878
Gujarat,2022,1,Botad District,1089654,2529006396.908216
Gujarat,2022,1,Bharuch District,7704075,12142511077.777288
Gujarat,2022,1,Bhavnagar District,2733486,6507151536.779606
Gujarat,2022,1,Junagadh District,1159000,2632740612.9288683
Gujarat,2022,1,Mahesana District,5772191,12148997855.25247
Gujarat,2022,1,The Dangs District,199292,319930741.7016173
Gujarat,2022,1,Kheda District,2392631,4653031406.324551
Gujarat,2022,1,Surat District,31199368,60384509134.17688
Gujarat,2022,1,Porbandar District,368108,1041885112.1535239
Gujarat,2022,1,Gandhinagar District,8605006,14673670632.364439
Gujarat,2022,1,Panch Mahals District,2317566,4354464949.808911
Gujarat,2022,1,Narmada District,590661,1028206703.221612
Gujarat,2022,1,Gir Somnath District,1311753,3149910594.069738
Gujarat,2022,1,Valsad District,6673719,11065186874.369558
Gujarat,2022,1,Mahisagar District,634329,1400068532.058012
Gujarat,2022,1,Sabar Kantha District,3018096,5899494954.572109
Gujarat,2022,1,Tapi District,1479525,2625677244.260591
Gujarat,2022,1,Vadodara District,14343830,22232541228.69869
Gujarat,2022,1,Banas Kantha District,7973644,18279879154.01122
Gujarat,2022,1,Amreli District,1139593,2619535836.606331
Gujarat,2022,1,Ahmadabad District,79952986,140746136456.2987
Gujarat,2022,1,Dohad District,1492215,3303671729.696109
Gujarat,2022,1,Navsari District,2558811,4448236738.077925
Gujarat,2022,1,Patan District,2676329,5505990582.930806
Gujarat,2022,1,Kachchh District,6493295,13234467234.40991
Gujarat,2022,1,Surendranagar District,1770045,4155739566.6631665
Gujarat,2022,1,Morbi District,2000248,5171017148.465556
Gujarat,2022,2,Anand District,3366969,5980713686.8809185
Gujarat,2022,2,Jamnagar District,2577307,4428726322.515411
Gujarat,2022,2,Devbhumi Dwarka District,699907,1553973410.087356
Gujarat,2022,2,Rajkot District,6063252,12629937169.82262
Gujarat,2022,2,Aravallis District,1985375,3936343254.1726723
Gujarat,2022,2,Chhotaudepur District,554481,1118837886.278185
Gujarat,2022,2,Botad District,1319494,2481012650.813588
Gujarat,2022,2,Bharuch District,8898927,13524403307
Gujarat,2022,2,Bhavnagar District,3280598,7203081678.489593
Gujarat,2022,2,Junagadh District,1303634,2870016919.846751
Gujarat,2022,2,Mahesana District,6831581,13686497405.843649
Gujarat,2022,2,The Dangs District,242942,386904516.3028682
Gujarat,2022,2,Kheda District,2804743,5136552729.090972
Gujarat,2022,2,Surat District,37371820,68525386888.44026
Gujarat,2022,2,Porbandar District,451806,1247309372.061276
Gujarat,2022,2,Gandhinagar District,10158506,16650584409.35309
Gujarat,2022,2,Panch Mahals District,2768107,4913162124.983288
Gujarat,2022,2,Narmada District,728214,1199594621.961315
Gujarat,2022,2,Gir Somnath District,1593762,3597900918.795203
Gujarat,2022,2,Valsad District,8033358,12554813235.049372
Gujarat,2022,2,Mahisagar District,787617,1679677472.328221
Gujarat,2022,2,Sabar Kantha District,3593785,6977672565.8998785
Gujarat,2022,2,Tapi District,1783511,3029292345
Gujarat,2022,2,Vadodara District,16566055,24927078678.27437
Gujarat,2022,2,Banas Kantha District,9732655,20605533611.37827
Gujarat,2022,2,Amreli District,1320163,2813019600.3597507
Gujarat,2022,2,Ahmadabad District,96453555,161506106645.94943
Gujarat,2022,2,Dohad District,1809814,3896428797.800151
Gujarat,2022,2,Navsari District,3327016,5310124254.046915
Gujarat,2022,2,Patan District,3116746,6276857246.360606
Gujarat,2022,2,Kachchh District,7934471,15334005512.230759
Gujarat,2022,2,Surendranagar District,2087742,4713415151.499961
Gujarat,2022,2,Morbi District,2504883,6103036587.724854
Gujarat,2022,3,Anand District,3910410,6469350595.472252
Gujarat,2022,3,Jamnagar District,3714625,5733544044.074508
Gujarat,2022,3,Devbhumi Dwarka District,918151,1779143512.5724452
Gujarat,2022,3,Rajkot District,8053297,15206611341.200823
Gujarat,2022,3,Aravallis District,2236769,3920741952.595134
Gujarat,2022,3,Chhotaudepur District,545300,995504884.8
Gujarat,2022,3,Botad District,1433437,2591773863.872061
Gujarat,2022,3,Bharuch District,11270803,15949022077.719542
Gujarat,2022,3,Bhavnagar District,4568839,9041452290.515198
Gujarat,2022,3,Junagadh District,1537367,3043926124.6742268
Gujarat,2022,3,Mahesana District,6403784,12429803356.66823
Gujarat,2022,3,The Dangs District,254111,381893547.7480219
Gujarat,2022,3,Kheda District,3591066,5933588857.8341465
Gujarat,2022,3,Surat District,46500453,78304481289.11215
Gujarat,2022,3,Porbandar District,578802,1357830610.527565
Gujarat,2022,3,Gandhinagar District,10879868,17098915693.48831
Gujarat,2022,3,Panch Mahals District,2823294,4508411917.771398
Gujarat,2022,3,Narmada District,723343,1114771648.905864
Gujarat,2022,3,Gir Somnath District,1406104,3027458849
Gujarat,2022,3,Valsad District,9633288,13905599408.86188
Gujarat,2022,3,Mahisagar District,1122900,1986607331.676615
Gujarat,2022,3,Sabar Kantha District,3760015,6565494234.606799
Gujarat,2022,3,Tapi District,1473584,2258710020.370042
Gujarat,2022,3,Vadodara District,23318716,32733106035
Gujarat,2022,3,Banas Kantha District,11035119,22401495021.82648
Gujarat,2022,3,Amreli District,1325138,2656525026.780618
Gujarat,2022,3,Ahmadabad District,117574996,184255244712.72232
Gujarat,2022,3,Dohad District,2182542,3862273582.173656
Gujarat,2022,3,Navsari District,2421727,3829182729.863163
Gujarat,2022,3,Patan District,3407916,6332131544
Gujarat,2022,3,Kachchh District,9375781,16533683640.30562
Gujarat,2022,3,Surendranagar District,2522750,5153708091.863037
Gujarat,2022,3,Morbi District,2735437,6075514370.909432
Gujarat,2022,4,Anand District,4351503,7433779371
Gujarat,2022,4,Jamnagar District,4945374,7625464587.433752
Gujarat,2022,4,Devbhumi Dwarka District,910863,1848097499.2814002
Gujarat,2022,4,Rajkot District,9260831,17834314868.93695
Gujarat,2022,4,Aravallis District,2532438,4651225998.251141
Gujarat,2022,4,Chhotaudepur District,640222,1199597589.641556
Gujarat,2022,4,Botad District,1634212,3051272765.407254
Gujarat,2022,4,Bharuch District,15879527,22486941029.828552
Gujarat,2022,4,Bhavnagar District,5089277,10905403197.736021
Gujarat,2022,4,Junagadh District,2532155,4948034874.389366
Gujarat,2022,4,Mahesana District,7160396,14173625244.24226
Gujarat,2022,4,The Dangs District,317748,463583958.8647848
Gujarat,2022,4,Kheda District,3509944,6102744146.6588545
Gujarat,2022,4,Surat District,52037142,85923991746.92256
Gujarat,2022,4,Porbandar District,615650,1513924726.453272
Gujarat,2022,4,Gandhinagar District,12010565,19015449813.738014
Gujarat,2022,4,Panch Mahals District,3308022,5455257544.003245
Gujarat,2022,4,Narmada District,846033,1308463853
Gujarat,2022,4,Gir Somnath District,1671989,3731133998.415558
Gujarat,2022,4,Valsad District,11103340,15842261457.571371
Gujarat,2022,4,Mahisagar District,1619162,2861334019
Gujarat,2022,4,Sabar Kantha District,4958012,8965673462.522814
Gujarat,2022,4,Tapi District,1635320,2610910573.870913
Gujarat,2022,4,Vadodara District,20968443,30304178848.496628
Gujarat,2022,4,Banas Kantha District,12352158,25179922289.86369
Gujarat,2022,4,Amreli District,1619039,3343832001.6098003
Gujarat,2022,4,Ahmadabad District,133174553,212037117715.3488
Gujarat,2022,4,Dohad District,2608983,4807410074.584564
Gujarat,2022,4,Navsari District,2509503,4046502522.5835342
Gujarat,2022,4,Patan District,3819745,7472645579
Gujarat,2022,4,Kachchh District,9617702,17113433243.30934
Gujarat,2022,4,Surendranagar District,2537495,5716407620.510841
Gujarat,2022,4,Morbi District,3378672,7944369113.768207
Haryana,2018,1,Yamunanagar District,102917,125333909.59597151
Haryana,2018,1,Sonipat District,178766,279804665.7475828
Haryana,2018,1,Jind District,117357,186842136.1964325
Haryana,2018,1,Rohtak District,121728,215207976.23801097
Haryana,2018,1,Faridabad District,521939,772738359.1903924
Haryana,2018,1,Mahendragarh District,89413,119624307.9803069
Haryana,2018,1,Hisar District,240517,355732765.7536729
Haryana,2018,1,Karnal District,169313,247718779.06675458
Haryana,2018,1,Fatehabad District,116455,105677674.3094569
Haryana,2018,1,Palwal District,97942,145340107.56054282
Haryana,2018,1,Charkhi Dadri District,32910,49515979.82368229
Haryana,2018,1,Ambala District,119503,189250271.93812093
Haryana,2018,1,Rewari District,199418,280095218.8487885
Haryana,2018,1,Panchkula District,86298,142847688.49278012
Haryana,2018,1,Bhiwani District,125150,190361119.4002706
Haryana,2018,1,Sirsa District,164867,164313975.8712107
Haryana,2018,1,Mewat District,80255,132978792.61417452
Haryana,2018,1,Panipat District,183960,263054774.74491557
Haryana,2018,1,Gurugram District,1408070,2317083393.8960967
Haryana,2018,1,Kaithal District,98466,149686426.21811038
Haryana,2018,1,Kurukshetra District,110204,172343157.3271751
Haryana,2018,1,Jhajjar District,115322,187960033.8459023
Haryana,2018,2,Yamunanagar District,145792,222903345.7494049
Haryana,2018,2,Sonipat District,253130,475518495.4836759
Haryana,2018,2,Jind District,155618,316637352.4092227
Haryana,2018,2,Rohtak District,179677,372787270.2835766
Haryana,2018,2,Faridabad District,698865,1211325239.4669201
Haryana,2018,2,Mahendragarh District,120215,213293581.47763312
Haryana,2018,2,Hisar District,320500,627894549.2713584
Haryana,2018,2,Karnal District,224254,430353501.6175366
Haryana,2018,2,Fatehabad District,169161,203643680.8626998
Haryana,2018,2,Palwal District,128161,242183536.6488715
Haryana,2018,2,Charkhi Dadri District,43322,88537038.62394695
Haryana,2018,2,Ambala District,180500,352994750.8908926
Haryana,2018,2,Rewari District,263194,453157049.12882835
Haryana,2018,2,Panchkula District,130924,264234229.4096855
Haryana,2018,2,Bhiwani District,167009,329873004.93190557
Haryana,2018,2,Sirsa District,234948,288080253.2
Haryana,2018,2,Mewat District,115296,249716563.94502202
Haryana,2018,2,Panipat District,265754,440169913.37038255
Haryana,2018,2,Gurugram District,1893511,3604758914.735219
Haryana,2018,2,Kaithal District,142167,283466007.10194105
Haryana,2018,2,Kurukshetra District,153556,302704098.7344694
Haryana,2018,2,Jhajjar District,165377,346182064.7776333
Haryana,2018,3,Yamunanagar District,165095,320728121.9295537
Haryana,2018,3,Sonipat District,315829,689899150.9
Haryana,2018,3,Jind District,186905,487064678.17805666
Haryana,2018,3,Rohtak District,242013,568546327.4827201
Haryana,2018,3,Faridabad District,1058983,1722572594.332481
Haryana,2018,3,Mahendragarh District,145319,313539207.0147832
Haryana,2018,3,Hisar District,390428,961080725.8344724
Haryana,2018,3,Karnal District,282956,594890203.9680781
Haryana,2018,3,Fatehabad District,159967,308682508.9638707
Haryana,2018,3,Palwal District,173758,381999796.4721205
Haryana,2018,3,Charkhi Dadri District,49278,120685428.87020159
Haryana,2018,3,Ambala District,233248,522223540.22800374
Haryana,2018,3,Rewari District,350599,643047741.7898455
Haryana,2018,3,Panchkula District,171066,391072983.2679684
Haryana,2018,3,Bhiwani District,207426,475078358.2
Haryana,2018,3,Sirsa District,222321,409263123.8749541
Haryana,2018,3,Mewat District,138275,371454678.0918274
Haryana,2018,3,Panipat District,331409,660571357.2553346
Haryana,2018,3,Gurugram District,2877059,5115393851.988528
Haryana,2018,3,Kaithal District,149271,393148924.7561258
Haryana,2018,3,Kurukshetra District,195635,451182253.5
Haryana,2018,3,Jhajjar District,215184,473013450.7323007
Haryana,2018,4,Yamunanagar District,216626,469237640
Haryana,2018,4,Sonipat District,428989,1037340218
Haryana,2018,4,Jind District,259036,778822776.4793004
Haryana,2018,4,Rohtak District,300319,829370093
Haryana,2018,4,Faridabad District,2271109,2832603200.5767293
Haryana,2018,4,Mahendragarh District,211639,545441257.9905821
Haryana,2018,4,Hisar District,511206,1476103125.5799582
Haryana,2018,4,Karnal District,356327,883621789.4906831
Haryana,2018,4,Fatehabad District,203164,453801169.98377275
Haryana,2018,4,Palwal District,383775,672481291.5
Haryana,2018,4,Charkhi Dadri District,69055,210310441.27509162
Haryana,2018,4,Ambala District,313017,778868451.3
Haryana,2018,4,Rewari District,535609,1038332553.897626
Haryana,2018,4,Panchkula District,237408,563481852.1845163
Haryana,2018,4,Bhiwani District,267720,748611718.7064086
Haryana,2018,4,Sirsa District,290380,618718729.5792961
Haryana,2018,4,Mewat District,223048,658766830.3378227
Haryana,2018,4,Panipat District,427930,960831966.9902786
Haryana,2018,4,Gurugram District,4651606,7834266744.800947
Haryana,2018,4,Kaithal District,211975,600215099.0389218
Haryana,2018,4,Kurukshetra District,260273,658077491.6740904
Haryana,2018,4,Jhajjar District,319972,741571573.9301258
Haryana,2019,1,Yamunanagar District,316341,621768079.7163557
Haryana,2019,1,Sonipat District,699422,1419939621.332883
Haryana,2019,1,Jind District,347169,901895353.7033024
Haryana,2019,1,Rohtak District,575222,1345411743.258372
Haryana,2019,1,Faridabad District,4020631,4128377201.436385
Haryana,2019,1,Mahendragarh District,329809,700858191.0505589
Haryana,2019,1,Hisar District,703750,1656524675.5728462
Haryana,2019,1,Karnal District,589011,1295083691.156188
Haryana,2019,1,Fatehabad District,241196,525503934.38160104
Haryana,2019,1,Palwal District,719323,1032542809.360086
Haryana,2019,1,Charkhi Dadri District,87835,251032566.6686064
Haryana,2019,1,Ambala District,448912,923757681.9398445
Haryana,2019,1,Rewari District,992599,1395914440.3212428
Haryana,2019,1,Panchkula District,336765,690225761.0202861
Haryana,2019,1,Bhiwani District,365815,911210973.3776146
Haryana,2019,1,Sirsa District,384247,765910302.0482943
Haryana,2019,1,Mewat District,366223,978845773.9
Haryana,2019,1,Panipat District,685081,1414874465.035755
Haryana,2019,1,Gurugram District,8723777,10558099866.88987
Haryana,2019,1,Kaithal District,286388,720662628.1171092
Haryana,2019,1,Kurukshetra District,368183,771166495.1
Haryana,2019,1,Jhajjar District,548076,1042049466.282319
Haryana,2019,2,Yamunanagar District,322842,733097991.6
Haryana,2019,2,Sonipat District,888795,2100408323.279781
Haryana,2019,2,Jind District,335183,1085616289.045568
Haryana,2019,2,Rohtak District,1096201,2813329870.614499
Haryana,2019,2,Faridabad District,3523377,4505940224
Haryana,2019,2,Mahendragarh District,359714,903928698.6442676
Haryana,2019,2,Hisar District,761001,2054472611.4927537
Haryana,2019,2,Karnal District,814251,2062725761.781968
Haryana,2019,2,Fatehabad District,212170,601431999.6543777
Haryana,2019,2,Palwal District,741633,1293085678
Haryana,2019,2,Charkhi Dadri District,99348,298692889.2887847
Haryana,2019,2,Ambala District,516192,1205417087.992724
Haryana,2019,2,Rewari District,889511,1639474281.2498112
Haryana,2019,2,Panchkula District,351461,780115034.3599005
Haryana,2019,2,Bhiwani District,374433,1139830017.208538
Haryana,2019,2,Sirsa District,344381,869817209.3
Haryana,2019,2,Mewat District,415855,1221071244.360454
Haryana,2019,2,Panipat District,1019615,2473242371.019817
Haryana,2019,2,Gurugram District,8386864,11575310786.46454
Haryana,2019,2,Kaithal District,298191,881165185.4286921
Haryana,2019,2,Kurukshetra District,421509,955339769.7510326
Haryana,2019,2,Jhajjar District,569289,1308026488.612537
Haryana,2019,3,Yamunanagar District,399398,857965334.8129491
Haryana,2019,3,Sonipat District,1066029,2495689739.736125
Haryana,2019,3,Jind District,408678,1216085135.955506
Haryana,2019,3,Rohtak District,1158516,3225248552.778762
Haryana,2019,3,Faridabad District,4701377,5869168552.228926
Haryana,2019,3,Mahendragarh District,507177,1079689950.648915
Haryana,2019,3,Hisar District,1055411,2558826214.563476
Haryana,2019,3,Karnal District,991286,2467996778.788671
Haryana,2019,3,Fatehabad District,283362,718709989
Haryana,2019,3,Palwal District,1061268,1687988450
Haryana,2019,3,Charkhi Dadri District,136612,339477044.5007904
Haryana,2019,3,Ambala District,637004,1419170555.368821
Haryana,2019,3,Rewari District,1206241,2010833861.512252
Haryana,2019,3,Panchkula District,484783,992298739.8465135
Haryana,2019,3,Bhiwani District,475369,1281625493.351535
Haryana,2019,3,Sirsa District,420805,994405010.8659167
Haryana,2019,3,Mewat District,620519,1477213719.6138623
Haryana,2019,3,Panipat District,1155825,2901827842.890513
Haryana,2019,3,Gurugram District,11843666,15022524504.763739
Haryana,2019,3,Kaithal District,358681,1010171721.189143
Haryana,2019,3,Kurukshetra District,616227,1219547000.470591
Haryana,2019,3,Jhajjar District,755297,1642655006.4215212
Haryana,2019,4,Yamunanagar District,498392,1112625525.993471
Haryana,2019,4,Sonipat District,1368457,3347168252.768132
Haryana,2019,4,Jind District,536486,1639970055.1800823
Haryana,2019,4,Rohtak District,1428337,4158625641.792381
Haryana,2019,4,Faridabad District,5358174,7782346423.807224
Haryana,2019,4,Mahendragarh District,694592,1584910815.2201219
Haryana,2019,4,Hisar District,1309901,3351369912.8069725
Haryana,2019,4,Karnal District,1280457,3322975421.6792207
Haryana,2019,4,Fatehabad District,377876,992743748.5799376
Haryana,2019,4,Palwal District,1273274,2370503274.3677917
Haryana,2019,4,Charkhi Dadri District,168941,463339408.3
Haryana,2019,4,Ambala District,820296,1895665170.874163
Haryana,2019,4,Rewari District,1538398,2831585559.795183
Haryana,2019,4,Panchkula District,573361,1179807255.721688
Haryana,2019,4,Bhiwani District,618484,1752990396.2492259
Haryana,2019,4,Sirsa District,558726,1348363727.6535501
Haryana,2019,4,Mewat District,850275,2267476888.485292
Haryana,2019,4,Panipat District,1437677,3870819294.7898273
Haryana,2019,4,Gurugram District,14935865,19000424238.11497
Haryana,2019,4,Kaithal District,435877,1329296855.193705
Haryana,2019,4,Kurukshetra District,796665,1609238971.3669562
Haryana,2019,4,Jhajjar District,965474,2147473030.3808532
Haryana,2020,1,Yamunanagar District,558348,1172835685.667386
Haryana,2020,1,Sonipat District,2016893,5091258326.483329
Haryana,2020,1,Jind District,792514,2305447628.7454963
Haryana,2020,1,Rohtak District,1803076,5175066327.070365
Haryana,2020,1,Faridabad District,5840117,8881105700.091959
Haryana,2020,1,Mahendragarh District,812720,1774232508.953913
Haryana,2020,1,Hisar District,1533724,3820470010.4559903
Haryana,2020,1,Karnal District,1579733,4003478768.7248425
Haryana,2020,1,Fatehabad District,438880,1074164856.930256
Haryana,2020,1,Palwal District,1613263,3109146807
Haryana,2020,1,Charkhi Dadri District,208834,562772483.6054598
Haryana,2020,1,Ambala District,956506,2112697116.8509133
Haryana,2020,1,Rewari District,1747564,3142595798.451387
Haryana,2020,1,Panchkula District,651033,1274745092.228015
Haryana,2020,1,Bhiwani District,768147,2100759580.672506
Haryana,2020,1,Sirsa District,656981,1538727815.135291
Haryana,2020,1,Mewat District,1241283,3154872672.0695763
Haryana,2020,1,Panipat District,1781967,4661669007.426311
Haryana,2020,1,Gurugram District,16484737,21152356889.05249
Haryana,2020,1,Kaithal District,483716,1393783067.402382
Haryana,2020,1,Kurukshetra District,976468,2101835665.216933
Haryana,2020,1,Jhajjar District,1089583,2372192750.4319468
Haryana,2020,2,Yamunanagar District,645364,1269799998.438766
Haryana,2020,2,Sonipat District,2067865,5016220638.103821
Haryana,2020,2,Jind District,791601,2194774577.812515
Haryana,2020,2,Rohtak District,2050920,5946541938.9652815
Haryana,2020,2,Faridabad District,5775792,8177450074
Haryana,2020,2,Mahendragarh District,1152066,2503496877.6459002
Haryana,2020,2,Hisar District,1644838,4146210408.4450903
Haryana,2020,2,Karnal District,1629574,4045109843.2026005
Haryana,2020,2,Fatehabad District,533673,1312791083.1632018
Haryana,2020,2,Palwal District,2090627,3788124543.1240053
Haryana,2020,2,Charkhi Dadri District,301953,834008663.4588815
Haryana,2020,2,Ambala District,1016809,2154410296.0020723
Haryana,2020,2,Rewari District,2022132,3582603328.500936
Haryana,2020,2,Panchkula District,619625,1199233109.316799
Haryana,2020,2,Bhiwani District,973720,2795033053.4607472
Haryana,2020,2,Sirsa District,759835,1811788465.1291971
Haryana,2020,2,Mewat District,1598705,3658746771.705061
Haryana,2020,2,Panipat District,2011582,5207544726.945989
Haryana,2020,2,Gurugram District,11284856,14426170120.90345
Haryana,2020,2,Kaithal District,583834,1619967939.151961
Haryana,2020,2,Kurukshetra District,978542,2346620365.263732
Haryana,2020,2,Jhajjar District,1247137,2674618101
Haryana,2020,3,Yamunanagar District,763343,1615787282
Haryana,2020,3,Sonipat District,2922945,7024743099.006163
Haryana,2020,3,Jind District,893421,2533560699.496646
Haryana,2020,3,Rohtak District,1740356,4643691558
Haryana,2020,3,Faridabad District,8700173,13490214442.58587
Haryana,2020,3,Mahendragarh District,1444047,3179331732.0796742
Haryana,2020,3,Hisar District,2209518,5761605477.767697
Haryana,2020,3,Karnal District,1955755,4578348863
Haryana,2020,3,Fatehabad District,623907,1615396730.6670148
Haryana,2020,3,Palwal District,2672871,4869775359
Haryana,2020,3,Charkhi Dadri District,356875,1030013843.475117
Haryana,2020,3,Ambala District,1529567,3610359386
Haryana,2020,3,Rewari District,3041169,5346067429.247877
Haryana,2020,3,Panchkula District,802938,1612924042.1496212
Haryana,2020,3,Bhiwani District,1151218,3304152585.372496
Haryana,2020,3,Sirsa District,907337,2219962582.328168
Haryana,2020,3,Mewat District,2107221,5099537212.926384
Haryana,2020,3,Panipat District,2334545,5809998640.786768
Haryana,2020,3,Gurugram District,18098421,23437360421.862152
Haryana,2020,3,Kaithal District,679617,1932756087.885961
Haryana,2020,3,Kurukshetra District,1320433,3113702590.4684997
Haryana,2020,3,Jhajjar District,1682502,3738660379.5864167
Haryana,2020,4,Yamunanagar District,1077956,2410444772.0000343
Haryana,2020,4,Sonipat District,3721622,9010603701.960873
Haryana,2020,4,Jind District,1272317,3898130378.609853
Haryana,2020,4,Rohtak District,2331057,6256117815.679721
Haryana,2020,4,Faridabad District,12149079,19603646063.14785
Haryana,2020,4,Mahendragarh District,2071830,5132014525.594751
Haryana,2020,4,Hisar District,3190398,8738948858.681063
Haryana,2020,4,Karnal District,2527301,6152410695.701475
Haryana,2020,4,Fatehabad District,929917,2561718838.438777
Haryana,2020,4,Palwal District,3692902,7333424919.068589
Haryana,2020,4,Charkhi Dadri District,516694,1591959232.8183222
Haryana,2020,4,Ambala District,1935671,4518807087.5245695
Haryana,2020,4,Rewari District,4329508,8169865745.127572
Haryana,2020,4,Panchkula District,1120856,2225317959.4937544
Haryana,2020,4,Bhiwani District,1703541,5280654023.625282
Haryana,2020,4,Sirsa District,1289154,3492793677.7845516
Haryana,2020,4,Mewat District,2948645,7484819524.783331
Haryana,2020,4,Panipat District,3059943,7874714735.936349
Haryana,2020,4,Gurugram District,28192581,35629614077
Haryana,2020,4,Kaithal District,959377,2945844252.9955378
Haryana,2020,4,Kurukshetra District,1721950,4141680049.095256
Haryana,2020,4,Jhajjar District,2429140,5544973431.463554
Haryana,2021,1,Yamunanagar District,1043361,2388580347.284953
Haryana,2021,1,Sonipat District,4353956,9992974986.499811
Haryana,2021,1,Jind District,1154593,3573969998
Haryana,2021,1,Rohtak District,2708295,6792159646.7480345
Haryana,2021,1,Faridabad District,12970900,21241648453.91784
Haryana,2021,1,Mahendragarh District,2091685,5054815918.884792
Haryana,2021,1,Hisar District,3294765,8859730937.006819
Haryana,2021,1,Karnal District,2822406,6379825746.570849
Haryana,2021,1,Fatehabad District,997671,2397117721
Haryana,2021,1,Palwal District,3641453,7214450169.004797
Haryana,2021,1,Charkhi Dadri District,500029,1545051474.217742
Haryana,2021,1,Ambala District,2455019,5222888389.089357
Haryana,2021,1,Rewari District,4385531,8303713647
Haryana,2021,1,Panchkula District,1145687,2252411265.671176
Haryana,2021,1,Bhiwani District,1699650,5156315675.845505
Haryana,2021,1,Sirsa District,1294809,3492030664.7386956
Haryana,2021,1,Mewat District,3236320,8671355565.335659
Haryana,2021,1,Panipat District,3288095,7866864997.406405
Haryana,2021,1,Gurugram District,31719830,39350276708.73313
Haryana,2021,1,Kaithal District,852261,2586851316.8576717
Haryana,2021,1,Kurukshetra District,2295153,5110348415
Haryana,2021,1,Jhajjar District,2301315,5484919037.9458275
Haryana,2021,2,Yamunanagar District,1288367,2864427756.781926
Haryana,2021,2,Sonipat District,5818055,12924700817.49342
Haryana,2021,2,Jind District,1550803,4689686886.344697
Haryana,2021,2,Rohtak District,3586587,8769888644.596024
Haryana,2021,2,Faridabad District,14467773,23831325859.81366
Haryana,2021,2,Mahendragarh District,2724054,6287702298.385579
Haryana,2021,2,Hisar District,4588374,11866795027
Haryana,2021,2,Karnal District,3501189,7822099240.647442
Haryana,2021,2,Fatehabad District,1100601,3020218252.6477695
Haryana,2021,2,Palwal District,4765916,9533885152.800251
Haryana,2021,2,Charkhi Dadri District,684041,2088906079.701446
Haryana,2021,2,Ambala District,3023586,6179397558.051969
Haryana,2021,2,Rewari District,5377720,9762169803
Haryana,2021,2,Panchkula District,1272702,2459954745.801186
Haryana,2021,2,Bhiwani District,2267331,6728640756.042201
Haryana,2021,2,Sirsa District,1608624,4366016287
Haryana,2021,2,Mewat District,4011429,9985192715.597248
Haryana,2021,2,Panipat District,4781725,10716524259.18295
Haryana,2021,2,Gurugram District,32311326,39938868048.39106
Haryana,2021,2,Kaithal District,1115241,3361028623.8560667
Haryana,2021,2,Kurukshetra District,2888055,6319003500.327951
Haryana,2021,2,Jhajjar District,2947357,6840921926
Haryana,2021,3,Yamunanagar District,1645578,3389970834.1231103
Haryana,2021,3,Sonipat District,7173052,14357121849.97747
Haryana,2021,3,Jind District,1850342,5031028936.730068
Haryana,2021,3,Rohtak District,4615616,10168683402
Haryana,2021,3,Faridabad District,19367342,30608591108.26096
Haryana,2021,3,Mahendragarh District,3395777,7301706022.252072
Haryana,2021,3,Hisar District,5215891,12437366867.17138
Haryana,2021,3,Karnal District,4403307,8835919266.381252
Haryana,2021,3,Fatehabad District,1376222,3397455787.171774
Haryana,2021,3,Palwal District,5875612,10372287086.18314
Haryana,2021,3,Charkhi Dadri District,836718,2300260231.729553
Haryana,2021,3,Ambala District,3571542,6863762736.196912
Haryana,2021,3,Rewari District,7225396,12146892237.73042
Haryana,2021,3,Panchkula District,1687993,3102317465.603709
Haryana,2021,3,Bhiwani District,2813880,7537025745.245574
Haryana,2021,3,Sirsa District,2082195,5060911913.209234
Haryana,2021,3,Mewat District,5054460,11174788500.588171
Haryana,2021,3,Panipat District,6120958,12577188571.75668
Haryana,2021,3,Gurugram District,47680658,55914389975.073906
Haryana,2021,3,Kaithal District,1318837,3485425651.327624
Haryana,2021,3,Kurukshetra District,3292588,6684284263.874127
Haryana,2021,3,Jhajjar District,3855729,8079713806.573341
Haryana,2021,4,Yamunanagar District,2005594,4432197772
Haryana,2021,4,Sonipat District,8588386,18170993284.93904
Haryana,2021,4,Jind District,2259248,6816681201.932595
Haryana,2021,4,Rohtak District,5544335,13098837015.96526
Haryana,2021,4,Faridabad District,23169872,38292223252.23201
