States,year,quarter,District,trans_counts,amount
Andhra Pradesh,2018,2,Srikakulam District,559868,929392017.3670052
Andhra Pradesh,2018,2,Spsr Nellore District,780454,1542057934.010896
Andhra Pradesh,2018,2,Vizianagaram District,529588,811711367.5080049
Andhra Pradesh,2018,2,Visakhapatnam District,1641192,2987853607.2939086
Andhra Pradesh,2018,2,Prakasam District,739991,1571167562.1276271
Andhra Pradesh,2018,2,Anantapur District,937023,1690366079.055792
Andhra Pradesh,2018,2,Ysr District,690842,1415500367.686184
Andhra Pradesh,2018,2,West Godavari District,786033,1688025212.304594
Andhra Pradesh,2018,2,Kurnool District,968439,1531888665.684323
Andhra Pradesh,2018,2,Chittoor District,1185723,1990419125.893711
Andhra Pradesh,2018,2,Guntur District,1088101,2108475811.785996
Andhra Pradesh,2018,2,Krishna District,1224987,2448141593.4919834
Andhra Pradesh,2018,3,East Godavari District,3226907,3551247095.3074474
Andhra Pradesh,2018,3,Srikakulam District,1073883,1318322236.598471
Andhra Pradesh,2018,3,Spsr Nellore District,1308890,2215938596.1851077
Andhra Pradesh,2018,3,Vizianagaram District,970132,1163546006.895916
Andhra Pradesh,2018,3,Visakhapatnam District,3394576,4821892253.393524
Andhra Pradesh,2018,3,Prakasam District,1319651,2346453445.483843
Andhra Pradesh,2018,3,Anantapur District,1815215,2681787750.4641647
Andhra Pradesh,2018,3,Ysr District,1557444,2235904512.2542043
Andhra Pradesh,2018,3,West Godavari District,1431282,2309078492.805814
Andhra Pradesh,2018,3,Kurnool District,2921189,2908389261.539773
Andhra Pradesh,2018,3,Chittoor District,2297429,3283517630.720593
Andhra Pradesh,2018,3,Guntur District,1912529,3127764663.180438
Andhra Pradesh,2018,3,Krishna District,2396934,3754202654.384461
Andhra Pradesh,2018,4,East Godavari District,3052762,4652624623.436675
Andhra Pradesh,2018,4,Srikakulam District,1252807,1870278609.504549
Andhra Pradesh,2018,4,Spsr Nellore District,1814997,3293448556.973445
Andhra Pradesh,2018,4,Vizianagaram District,1386787,1817673252.541776
Andhra Pradesh,2018,4,Visakhapatnam District,4791421,7366635864.849373
Andhra Pradesh,2018,4,Prakasam District,1692862,3255254226
Andhra Pradesh,2018,4,Anantapur District,2286391,3975878156.3298287
Andhra Pradesh,2018,4,Ysr District,1732527,3252340063.247859
Andhra Pradesh,2018,4,West Godavari District,1688482,3237504255.4632454
Andhra Pradesh,2018,4,Kurnool District,2508530,3626544852.4069242
Andhra Pradesh,2018,4,Chittoor District,3166201,4979093890.223491
Andhra Pradesh,2018,4,Guntur District,2546620,4730251217.6969595
Andhra Pradesh,2018,4,Krishna District,2839161,5416251838.130406
Andhra Pradesh,2019,1,East Godavari District,5440146,7382264725
Andhra Pradesh,2019,1,Srikakulam District,2526855,3407912878.415258
Andhra Pradesh,2019,1,Spsr Nellore District,3333584,5161932216.216368
Andhra Pradesh,2019,1,Vizianagaram District,2798241,3364576948.2993007
Andhra Pradesh,2019,1,Visakhapatnam District,9690866,13459857440.552681
Andhra Pradesh,2019,1,Prakasam District,2931081,4807527779.215152
Andhra Pradesh,2019,1,Anantapur District,3891336,6044730653.191345
Andhra Pradesh,2019,1,Ysr District,2852197,4915811593.896078
Andhra Pradesh,2019,1,West Godavari District,2829437,4623764455
Andhra Pradesh,2019,1,Kurnool District,4193432,5541564892.509683
Andhra Pradesh,2019,1,Chittoor District,6486813,8223371732.233584
Andhra Pradesh,2019,1,Guntur District,4846553,7765934169.404485
Andhra Pradesh,2019,1,Krishna District,5443981,9061346433
Andhra Pradesh,2019,2,East Godavari District,4699261,9116404622.476511
Andhra Pradesh,2019,2,Srikakulam District,2019203,4066576539.9368386
Andhra Pradesh,2019,2,Spsr Nellore District,3141891,6880873007.482059
Andhra Pradesh,2019,2,Vizianagaram District,2272320,4443041665.039663
Andhra Pradesh,2019,2,Visakhapatnam District,11705738,20797479804.02907
Andhra Pradesh,2019,2,Prakasam District,2670529,6262396448.455349
Andhra Pradesh,2019,2,Anantapur District,3578836,7830782361.377665
Andhra Pradesh,2019,2,Ysr District,2606284,6376856828.130631
Andhra Pradesh,2019,2,West Godavari District,2402074,5676818258.955046
Andhra Pradesh,2019,2,Kurnool District,3895824,7358285187.018034
Andhra Pradesh,2019,2,Chittoor District,5983308,10982727976.22432
Andhra Pradesh,2019,2,Guntur District,5005275,10405246943.48149
Andhra Pradesh,2019,2,Krishna District,6428472,13437029115.62075
Andhra Pradesh,2019,3,East Godavari District,6537303,11387726470.57774
Andhra Pradesh,2019,3,Srikakulam District,2556296,4610131289.524039
Andhra Pradesh,2019,3,Spsr Nellore District,4150195,8256600118.735449
Andhra Pradesh,2019,3,Vizianagaram District,2861581,4922069039.192161
Andhra Pradesh,2019,3,Visakhapatnam District,16694947,26944837120.04628
Andhra Pradesh,2019,3,Prakasam District,3430750,7354502261
Andhra Pradesh,2019,3,Anantapur District,4889720,9554081289.488277
Andhra Pradesh,2019,3,Ysr District,3296586,7447544274.211781
Andhra Pradesh,2019,3,West Godavari District,3179541,6627629029.014131
Andhra Pradesh,2019,3,Kurnool District,5139134,9025632779.412457
Andhra Pradesh,2019,3,Chittoor District,8201783,13837455758.755262
Andhra Pradesh,2019,3,Guntur District,6942304,13075661264.18803
Andhra Pradesh,2019,3,Krishna District,8408474,16404073560.50078
Andhra Pradesh,2019,4,East Godavari District,9285739,16816774065.30131
Andhra Pradesh,2019,4,Srikakulam District,3712555,6832369301.879346
Andhra Pradesh,2019,4,Spsr Nellore District,5877804,11786014089.19402
Andhra Pradesh,2019,4,Vizianagaram District,3998234,7175851807.068796
Andhra Pradesh,2019,4,Visakhapatnam District,23594874,39133296330.044624
Andhra Pradesh,2019,4,Prakasam District,4865473,10604077824.801031
Andhra Pradesh,2019,4,Anantapur District,6764112,13887248889.06406
Andhra Pradesh,2019,4,Ysr District,4793157,10865073855.73078
Andhra Pradesh,2019,4,West Godavari District,4596479,9710614747
Andhra Pradesh,2019,4,Kurnool District,7001958,13233105728.54823
Andhra Pradesh,2019,4,Chittoor District,11246986,19298476027.87548
Andhra Pradesh,2019,4,Guntur District,9761330,18565626418.03591
Andhra Pradesh,2019,4,Krishna District,11719402,23039786404.046642
Andhra Pradesh,2020,1,East Godavari District,11346242,21854701379.428677
Andhra Pradesh,2020,1,Srikakulam District,4835092,9777575594.177538
Andhra Pradesh,2020,1,Spsr Nellore District,7430247,15387829694.446861
Andhra Pradesh,2020,1,Vizianagaram District,5042066,9879174240.920494
Andhra Pradesh,2020,1,Visakhapatnam District,27115031,48809747614.67889
Andhra Pradesh,2020,1,Prakasam District,6318396,14169104764.52673
Andhra Pradesh,2020,1,Anantapur District,8466129,17864325752.82528
Andhra Pradesh,2020,1,Ysr District,6031255,14059924636.81991
Andhra Pradesh,2020,1,West Godavari District,5919670,12995834340.71623
Andhra Pradesh,2020,1,Kurnool District,8246869,17022710311.81304
Andhra Pradesh,2020,1,Chittoor District,13257740,23441848567.34419
Andhra Pradesh,2020,1,Guntur District,11493331,22992734620.64621
Andhra Pradesh,2020,1,Krishna District,12175289,24481702770.71471
Andhra Pradesh,2020,2,East Godavari District,13130334,26319906327.32029
Andhra Pradesh,2020,2,Srikakulam District,6425515,12153650076.87583
Andhra Pradesh,2020,2,Spsr Nellore District,9454274,20665376460.772232
Andhra Pradesh,2020,2,Vizianagaram District,6690313,12819344389.54538
Andhra Pradesh,2020,2,Visakhapatnam District,25300401,48293889917.414375
Andhra Pradesh,2020,2,Prakasam District,8844580,19846026726.90433
Andhra Pradesh,2020,2,Anantapur District,10473739,22094006659.412502
Andhra Pradesh,2020,2,Ysr District,8033609,19597207268.13202
Andhra Pradesh,2020,2,West Godavari District,7273096,16585866855.15978
Andhra Pradesh,2020,2,Kurnool District,9821381,22419372061.805172
Andhra Pradesh,2020,2,Chittoor District,14848197,27361300300.01902
Andhra Pradesh,2020,2,Guntur District,12308707,27463593607.839104
Andhra Pradesh,2020,2,Krishna District,12313709,26964149095.36629
Andhra Pradesh,2020,3,East Godavari District,17972431,39300043804.758514
Andhra Pradesh,2020,3,Srikakulam District,8286289,18029574581.33742
Andhra Pradesh,2020,3,Spsr Nellore District,16468209,39128324534.03022
Andhra Pradesh,2020,3,Vizianagaram District,8236703,17567816576.50126
Andhra Pradesh,2020,3,Visakhapatnam District,34421299,67628440368.111465
Andhra Pradesh,2020,3,Prakasam District,12266310,31221704852.44969
Andhra Pradesh,2020,3,Anantapur District,14447683,34102037972.657852
Andhra Pradesh,2020,3,Ysr District,11934653,32037007334.12973
Andhra Pradesh,2020,3,West Godavari District,10412351,25408608725.75429
Andhra Pradesh,2020,3,Kurnool District,13243292,32529351107.17173
Andhra Pradesh,2020,3,Chittoor District,20501863,42811566246.16463
Andhra Pradesh,2020,3,Guntur District,17601395,42531195809.75448
Andhra Pradesh,2020,3,Krishna District,19110457,44788458672.084435
Andhra Pradesh,2020,4,East Godavari District,25989490,58732615663.118416
Andhra Pradesh,2020,4,Srikakulam District,11092184,25222520275.27882
Andhra Pradesh,2020,4,Spsr Nellore District,20934374,49115443663.37911
Andhra Pradesh,2020,4,Vizianagaram District,10580824,24094847668.44506
Andhra Pradesh,2020,4,Visakhapatnam District,46551467,91879823025.40399
Andhra Pradesh,2020,4,Prakasam District,16176867,41852443493.51539
Andhra Pradesh,2020,4,Anantapur District,20996384,49732610814.26222
Andhra Pradesh,2020,4,Ysr District,15676878,42572974713.44026
Andhra Pradesh,2020,4,West Godavari District,15674762,40310975762.603455
Andhra Pradesh,2020,4,Kurnool District,18737323,44718203115.22612
Andhra Pradesh,2020,4,Chittoor District,29590411,61505711149.79541
Andhra Pradesh,2020,4,Guntur District,26136538,60641872021.254326
Andhra Pradesh,2020,4,Krishna District,27981050,64461504667.60723
Andhra Pradesh,2021,1,East Godavari District,26190701,60027984987.969505
Andhra Pradesh,2021,1,Srikakulam District,11160473,26486623313.092724
Andhra Pradesh,2021,1,Spsr Nellore District,22541428,52210333201.53073
Andhra Pradesh,2021,1,Vizianagaram District,10514582,24153782497.24324
Andhra Pradesh,2021,1,Visakhapatnam District,48248923,95308386037.84721
Andhra Pradesh,2021,1,Prakasam District,15175395,41396223622.17477
Andhra Pradesh,2021,1,Anantapur District,20102957,48353870395.01808
Andhra Pradesh,2021,1,Ysr District,15374473,42570919448.50447
Andhra Pradesh,2021,1,West Godavari District,16015685,42124030669.36126
Andhra Pradesh,2021,1,Kurnool District,17918524,44941629659.56964
Andhra Pradesh,2021,1,Chittoor District,29342609,60947491846.66089
Andhra Pradesh,2021,1,Guntur District,27445045,64207987853
Andhra Pradesh,2021,1,Krishna District,29717175,69715406644.53485
Andhra Pradesh,2021,2,East Godavari District,31717908,74604325863.66068
Andhra Pradesh,2021,2,Srikakulam District,13546232,32298129544.54086
Andhra Pradesh,2021,2,Spsr Nellore District,30290406,72283071757.09679
Andhra Pradesh,2021,2,Vizianagaram District,12689494,29140685236.830723
Andhra Pradesh,2021,2,Visakhapatnam District,54390299,114439012713.3533
Andhra Pradesh,2021,2,Prakasam District,19944047,54535328043.04135
Andhra Pradesh,2021,2,Anantapur District,25123346,60987487571.27991
Andhra Pradesh,2021,2,Ysr District,18457361,52523527031.021324
Andhra Pradesh,2021,2,West Godavari District,20950964,57233116236.187965
Andhra Pradesh,2021,2,Kurnool District,21972396,56659287475
Andhra Pradesh,2021,2,Chittoor District,34344902,73654690122.43158
Andhra Pradesh,2021,2,Guntur District,32968819,82356914463.83287
Andhra Pradesh,2021,2,Krishna District,36370960,90021923049.96454
Andhra Pradesh,2021,3,East Godavari District,39572714,89380370073
Andhra Pradesh,2021,3,Srikakulam District,15639768,34836400769.87681
Andhra Pradesh,2021,3,Spsr Nellore District,34411958,77839676988.30869
Andhra Pradesh,2021,3,Vizianagaram District,14510005,31383541628.21252
Andhra Pradesh,2021,3,Visakhapatnam District,69220981,136945652159.2651
Andhra Pradesh,2021,3,Prakasam District,24116580,63367713446.92805
Andhra Pradesh,2021,3,Anantapur District,30366444,70291248155.64975
Andhra Pradesh,2021,3,Ysr District,22439316,60683557724.65233
Andhra Pradesh,2021,3,West Godavari District,26245039,66647238455
Andhra Pradesh,2021,3,Kurnool District,26377809,62527453761.598076
Andhra Pradesh,2021,3,Chittoor District,42628568,89371931753.04831
Andhra Pradesh,2021,3,Guntur District,41675093,96525353090.12306
Andhra Pradesh,2021,3,Krishna District,44828275,104417897558.5897
Andhra Pradesh,2021,4,East Godavari District,48992531,106725597026.00351
Andhra Pradesh,2021,4,Srikakulam District,18501857,39713657870.15512
Andhra Pradesh,2021,4,Spsr Nellore District,41921081,92256405076.26547
Andhra Pradesh,2021,4,Vizianagaram District,17253059,36577529464.968704
Andhra Pradesh,2021,4,Visakhapatnam District,82711538,159530099772.73468
Andhra Pradesh,2021,4,Prakasam District,27858275,71323060008.47623
Andhra Pradesh,2021,4,Anantapur District,36129136,81239787006.64764
Andhra Pradesh,2021,4,Ysr District,26340348,69081850069
Andhra Pradesh,2021,4,West Godavari District,33235175,81292461575.08183
Andhra Pradesh,2021,4,Kurnool District,31782248,73968947669.64754
Andhra Pradesh,2021,4,Chittoor District,51119640,103985734663.7351
Andhra Pradesh,2021,4,Guntur District,50919286,115553993673.1733
Andhra Pradesh,2021,4,Krishna District,55489829,125015323207.8983
Andhra Pradesh,2022,1,East Godavari District,54738830,121067103712.79561
Andhra Pradesh,2022,1,Srikakulam District,20990782,46898912115.649216
